id,group,hf,conc,psnr,ssim,lpips
000006.npy,texture-heavy,0.49663040041923523,0.3041962014757318,28.206138610839844,0.6558589935302734,0.3288450539112091
000019.npy,texture-heavy,0.1784033626317978,0.2698237947159429,23.314817428588867,0.8060579299926758,0.12941567599773407
000067.npy,structured / edge-dominated,0.0960330069065094,0.33078809101454754,25.944828033447266,0.704771876335144,0.27382808923721313
000069.npy,smooth / low-frequency,0.03321782127022743,0.42938499805763475,32.12744903564453,0.9097808599472046,0.10533127188682556
000071.npy,smooth / low-frequency,0.03321143984794617,0.4297423144456314,32.325164794921875,0.9166428446769714,0.0979895368218422
000072.npy,structured / edge-dominated,0.06137912720441818,0.3467278663342485,25.052125930786133,0.7228178381919861,0.23174098134040833
000088.npy,smooth / low-frequency,0.009857290424406528,0.4656664664408615,35.17787170410156,0.9310017824172974,0.14727048575878143
000123.npy,smooth / low-frequency,0.024809682741761208,0.6652995201418576,29.533668518066406,0.8993053436279297,0.13049562275409698
000152.npy,texture-heavy,0.16494600474834442,0.28970459026673206,22.572423934936523,0.5772622227668762,0.3895869851112366
000176.npy,structured / edge-dominated,0.2645191252231598,0.3662445867238036,23.909711837768555,0.6609253883361816,0.31642043590545654
000180.npy,structured / edge-dominated,0.04566843807697296,0.42939941744517374,35.53043746948242,0.9353238940238953,0.17087511718273163
000198.npy,texture-heavy,0.05319256708025932,0.2379001496090371,26.854629516601562,0.7399569153785706,0.24911284446716309
000199.npy,texture-heavy,0.05093064159154892,0.23807382447492623,26.197101593017578,0.7147005200386047,0.2695809304714203
000219.npy,smooth / low-frequency,0.015061949379742146,0.3862386564407881,30.980051040649414,0.8477469086647034,0.12354690581560135
000243.npy,smooth / low-frequency,0.013645200990140438,0.6228145747081201,35.295413970947266,0.9533810019493103,0.0850558876991272
000253.npy,structured / edge-dominated,0.07275890558958054,0.5874101289156567,28.7779541015625,0.8371054530143738,0.24543295800685883
000259.npy,structured / edge-dominated,0.2555685043334961,0.35075243903756714,20.780418395996094,0.7281839847564697,0.22291406989097595
000263.npy,structured / edge-dominated,0.05375545844435692,0.43715019168557123,27.552492141723633,0.7916004061698914,0.17360156774520874
000284.npy,structured / edge-dominated,0.19181165099143982,0.3275927894527172,22.4393310546875,0.6501440405845642,0.32414963841438293
000348.npy,structured / edge-dominated,0.06318183243274689,0.5378069012386307,28.221721649169922,0.8418641090393066,0.20681177079677582
000366.npy,structured / edge-dominated,0.10786104947328568,0.50642521345364,28.179237365722656,0.8226416707038879,0.20503544807434082
000367.npy,structured / edge-dominated,0.1179572120308876,0.5020225937801117,28.31139373779297,0.8282948732376099,0.2029515653848648
000380.npy,structured / edge-dominated,0.06258111447095871,0.46612529354207266,27.737010955810547,0.8558986783027649,0.2024139016866684
000381.npy,texture-heavy,0.1160571426153183,0.22988252694925426,25.791973114013672,0.4469470679759979,0.7815456390380859
000410.npy,smooth / low-frequency,0.011310356669127941,0.21900241465394218,33.519378662109375,0.8446466326713562,0.26906058192253113
