id,psnr,ssim,frac_out_of_range,lpips
000006.npy,26.485240936279297,0.5806766152381897,0.0,0.43467026948928833
000019.npy,20.659448623657227,0.664240837097168,0.0,0.25572019815444946
000067.npy,23.049562454223633,0.5694097280502319,0.0,0.37470805644989014
000069.npy,29.35828971862793,0.8268898129463196,0.0,0.3193838596343994
000071.npy,29.450523376464844,0.8402788043022156,0.0,0.3010222613811493
000072.npy,22.968290328979492,0.7042158842086792,0.0,0.23922491073608398
000088.npy,20.75537872314453,0.36805424094200134,0.0,0.5866536498069763
000123.npy,24.484851837158203,0.7001549601554871,0.0,0.32798200845718384
000152.npy,20.98651885986328,0.5426127910614014,0.0,0.45607009530067444
000176.npy,22.242658615112305,0.5523884296417236,0.0,0.46150100231170654
000180.npy,31.458423614501953,0.8825204372406006,0.0,0.19843101501464844
000198.npy,22.040708541870117,0.4940309226512909,0.0,0.49028968811035156
000199.npy,21.575923919677734,0.4741225242614746,0.0,0.4959598481655121
000219.npy,23.256359100341797,0.4845096468925476,0.0,0.3696194887161255
000243.npy,21.7021541595459,0.2258327603340149,0.0,0.629256546497345
000253.npy,20.59503746032715,0.2167975902557373,0.0,0.6037594079971313
000259.npy,20.160778045654297,0.7048914432525635,0.0,0.27272123098373413
000263.npy,24.285003662109375,0.6746986508369446,0.0,0.259290874004364
000284.npy,20.84170913696289,0.5708483457565308,0.0,0.44142821431159973
000348.npy,25.062944412231445,0.6491777300834656,0.0,0.38334137201309204
000366.npy,27.045276641845703,0.7583768367767334,0.0,0.22419491410255432
000367.npy,27.14597511291504,0.7736141681671143,0.0,0.2104562520980835
000380.npy,26.246538162231445,0.7910262942314148,0.0,0.25768202543258667
000381.npy,21.733417510986328,0.32327786087989807,0.0,0.7034484148025513
000410.npy,22.162559509277344,0.34713804721832275,0.0,0.6430525183677673
000421.npy,20.285110473632812,0.18177755177021027,0.0,0.6883922815322876
000432.npy,26.682525634765625,0.7378001809120178,0.0,0.313019335269928
000437.npy,26.42070770263672,0.7058732509613037,0.0,0.26443931460380554
000440.npy,20.35304832458496,0.3284297287464142,0.0,0.5888879299163818
000447.npy,23.95359992980957,0.49918845295906067,0.0,0.47537195682525635
000473.npy,22.20819664001465,0.3916308283805847,0.0,0.5472264289855957
000497.npy,22.566242218017578,0.6016992926597595,0.0,0.4083826243877411
000501.npy,20.45958709716797,0.39401179552078247,0.0,0.5196645855903625
000508.npy,19.350614547729492,0.1451028287410736,0.0,0.6189733743667603
000538.npy,23.876440048217773,0.4666999578475952,0.0,0.5672740340232849
000554.npy,24.343719482421875,0.5690644979476929,0.0,0.44220542907714844
000557.npy,20.48903465270996,0.1516072154045105,0.0,0.5575640201568604
000559.npy,19.953941345214844,0.13938678801059723,0.0,0.5849397778511047
000579.npy,19.2164306640625,0.32048499584198,0.0,0.5603437423706055
000583.npy,24.313518524169922,0.7127373218536377,0.0,0.34316325187683105
000618.npy,23.15045166015625,0.4859030544757843,0.0,0.43147504329681396
000634.npy,25.397825241088867,0.5174347758293152,0.0,0.5110236406326294
000655.npy,25.97821044921875,0.7447471618652344,0.0,0.22548554837703705
000683.npy,23.886964797973633,0.6853817105293274,0.0,0.3485662043094635
000687.npy,21.38564682006836,0.35144591331481934,0.0,0.5225359201431274
000690.npy,21.82544708251953,0.6814665794372559,0.0,0.3426765203475952
000706.npy,19.09122085571289,0.2525900602340698,0.0,0.8259133100509644
000717.npy,19.98501968383789,0.7291990518569946,0.0,0.2545578181743622
000719.npy,19.728633880615234,0.7206244468688965,0.0,0.2641505002975464
000722.npy,25.01152229309082,0.8454158306121826,0.0,0.16765938699245453
000780.npy,20.073932647705078,0.6866251230239868,0.0,0.35893264412879944
000783.npy,23.777095794677734,0.44064366817474365,0.0,0.48055481910705566
000791.npy,24.944868087768555,0.601743221282959,0.0,0.408726304769516
